County	Full Name
23	Lewis
23	Leyden
23	Lowville
23	Lyonsdale
23	Martinsburg
23	Montague
23	New Bremen
23	Osceola
23	Pinckney
23	Turin
23	West Turin
23	Watson
24	Avon
24	Caledonia
24	Conesus
24	Geneseo
24	Groveland
24	Leicester
24	Lima
24	Livonia
24	Mount Morris
24	North Dansville
24	Nunda
24	Ossian
24	Portage
24	Sparta
24	Springwater
24	West Sparta
24	York
25	Brookfield
25	Cazenovia
25	DeRuyter
25	Eaton
25	Fenner
25	Georgetown
25	Hamilton
25	Lebanon
25	Lenox
25	Lincoln
25	Madison
25	Nelson
25	Oneida city
25	Smithfield
25	Stockbridge
25	Sullivan
26	Brighton
26	Chili
26	Clarkson
26	East Rochester
26	Gates
26	Greece
26	Hamlin
26	Henrietta
26	Irondequoit
26	Mendon
26	Ogden
26	Parma
26	Penfield
26	Perinton
26	Pittsford
26	Riga
26	Rochester city
26	Rush
26	Sweden
26	Webster
26	Wheatland
27	Amsterdam city
27	Amsterdam
27	Canajoharie
27	Charleston
27	Florida
27	Glen
27	Minden
27	Mohawk
27	Palatine
27	Root
27	St. Johnsville
28	Glen Cove city
28	Hempstead
28	Long Beach city
28	North Hempstead
28	Oyster Bay
29	Cambria
29	Hartland
29	Lewiston
29	Lockport city
29	Lockport
29	North Tonawanda city
29	Newfane
29	Niagara Falls city
29	Niagara
29	Pendleton
29	Porter
29	Royalton
29	Somerset
29	Wheatfield
29	Wilson
30	Annsville
30	Augusta
30	Ava
30	Boonville
30	Bridgewater
30	Camden
30	Deerfield
30	Florence
30	Floyd
30	Forestport
30	Kirkland
30	Lee
30	Marcy
30	Marshall
30	New Hartford
30	Paris
30	Remsen
30	Rome city
30	Sangerfield
30	Steuben
30	Trenton
30	Utica city
30	Vernon
30	Verona
30	Vienna
30	Western
30	Westmoreland
30	Whitestown
31	Camillus
31	Cicero
31	Clay
31	De Witt
31	Elbridge
31	Fabius
31	Geddes
31	LaFayette
31	Lysander
31	Manlius
31	Marcellus
31	Onondaga
31	Otisco
31	Pompey
31	Salina
31	Skaneateles
31	Spafford
31	Syracuse city
31	Tully
31	Van Buren
32	Bristol
32	Canadice
32	Canandaigua city
32	Canandaigua
32	East Bloomfield
32	Farmington
32	Geneva city
32	Geneva
32	Gorham
32	Hopewell
32	Manchester
32	Naples
32	Phelps
32	Richmond
32	South Bristol
32	Seneca
32	Victor
32	West Bloomfield
33	Blooming Grove
33	Chester
33	Cornwall
33	Crawford
33	Deerpark
33	Goshen
33	Greenville
33	Hamptonburgh
33	Highlands
33	Middletown city
33	Minisink
33	Monroe
33	Montgomery
33	Mount Hope
33	New Windsor
33	Newburgh city
33	Newburgh
33	Port Jervis city
33	Tuxedo
33	Wallkill
33	Warwick
33	Wawayanda
33	Woodbury
34	Albion
34	Barre
34	Carlton
34	Clarendon
34	Gaines
34	Kendall
34	Murray
34	Ridgeway
34	Shelby
34	Yates
35	Albion
35	Amboy
35	Boylston
35	Constantia
35	Fulton city
35	Granby
35	Hannibal
35	Hastings
35	Mexico
35	Minetto
35	New Haven
35	Orwell
35	Oswego city
35	Oswego
35	Palermo
35	Parish
35	Redfield
35	Richland
35	Sandy Creek
35	Schroeppel
35	Scriba
35	Volney
35	West Monroe
35	Williamstown
36	Burlington
36	Butternuts
36	Cherry Valley
36	Decatur
36	Edmeston
36	Exeter
36	Hartwick
36	Laurens
36	Maryland
36	Middlefield
36	Milford
36	Morris
36	New Lisbon
36	Oneonta city
36	Oneonta
36	Otego
36	Otsego
36	Pittsfield
36	Plainfield
36	Richfield
36	Roseboom
36	Springfield
36	Unadilla
36	Westford
36	Worcester
37	Carmel
37	Kent
37	Patterson
37	Philipstown
37	Putnam Valley
37	Southeast
38	Berlin
38	Brunswick
38	East Greenbush
38	Grafton
38	Hoosick
38	North Greenbush
38	Nassau
38	Petersburgh
38	Pittstown
38	Poestenkill
38	Rensselaer city
38	Sand Lake
38	Schaghticoke
38	Schodack
38	Stephentown
38	Troy city
39	Clarkstown
39	Haverstraw
39	Orangetown
39	Ramapo
39	Stony Point
40	Brasher
40	Canton
40	Clare
40	Clifton
40	Colton
40	De Kalb
40	De Peyster
40	Edwards
40	Fine
40	Fowler
40	Gouverneur
40	Hammond
40	Hermon
40	Hopkinton
40	Lawrence
40	Lisbon
40	Louisville
40	Macomb
40	Madrid
40	Massena
40	Morristown
40	Norfolk
40	Ogdensburg city
40	Oswegatchie
40	Parishville
40	Piercefield
40	Pierrepont
40	Pitcairn
40	Potsdam
40	Rossie
40	Russell
40	Stockholm
40	Waddington
41	Ballston
41	Charlton
41	Clifton Park
41	Corinth
41	Day
41	Edinburg
41	Galway
41	Greenfield
41	Hadley
41	Halfmoon
41	Malta
41	Mechanicville city
41	Milton
41	Moreau
41	Northumberland
41	Providence
41	Saratoga Springs city
41	Saratoga
41	Stillwater
41	Waterford
41	Wilton
42	Duanesburg
42	Glenville
42	Niskayuna
42	Princetown
42	Rotterdam
42	Schenectady city
43	Blenheim
43	Broome
43	Carlisle
43	Cobleskill
43	Conesville
43	Esperance
43	Fulton
43	Gilboa
43	Jefferson
43	Middleburgh
43	Richmondville
43	Schoharie
43	Seward
43	Sharon
43	Summit
43	Wright
44	Catharine
44	Cayuta
44	Dix
44	Hector
44	Montour
44	Orange
44	Reading
44	Tyrone
45	Covert
45	Fayette
45	Junius
45	Lodi
45	Ovid
45	Romulus
45	Seneca Falls
45	Tyre
45	Varick
45	Waterloo
46	Addison
46	Avoca
46	Bath
46	Bradford
46	Cameron
46	Campbell
46	Canisteo
46	Caton
46	Cohocton
46	Corning city
46	Corning
46	Dansville
46	Erwin
46	Fremont
46	Greenwood
46	Hartsville
46	Hornby
46	Hornell city
46	Hornellsville
46	Howard
46	Jasper
46	Lindley
46	Prattsburgh
46	Pulteney
46	Rathbone
46	Thurston
46	Troupsburg
46	Tuscarora
46	Urbana
46	West Union
46	Wayland
46	Wayne
46	Wheeler
46	Woodhull
47	Babylon
47	Brookhaven
47	East Hampton
